Cloudlet ID,Status,Datacenter ID,VM ID,Actual CPU Time,Start Time,End Time,Task Size,Wait Time,Response Time,Makespan,Turnaround Time
8,SUCCESS,2,12,0.02,0.01,0.03,Small,0.00,0.02,0.02,0.02
505,SUCCESS,2,10,0.03,0.01,0.04,Small,0.00,0.03,0.03,0.03
561,SUCCESS,2,36,0.03,0.01,0.04,Small,0.00,0.03,0.03,0.03
152,SUCCESS,2,8,0.04,0.01,0.05,Small,0.00,0.04,0.04,0.04
624,SUCCESS,2,9,0.08,0.01,0.09,Small,0.00,0.08,0.08,0.08
826,SUCCESS,2,10,0.11,0.01,0.12,Small,0.00,0.11,0.11,0.11
724,SUCCESS,2,7,0.11,0.01,0.12,Small,0.00,0.11,0.11,0.11
630,SUCCESS,2,22,0.13,0.01,0.14,Small,0.00,0.13,0.13,0.13
837,SUCCESS,2,3,0.15,0.01,0.16,Small,0.00,0.15,0.15,0.15
74,SUCCESS,2,9,0.15,0.01,0.16,Small,0.00,0.15,0.15,0.15
485,SUCCESS,2,24,0.19,0.01,0.20,Small,0.00,0.19,0.19,0.19
644,SUCCESS,2,23,0.25,0.01,0.26,Small,0.00,0.25,0.25,0.25
522,SUCCESS,2,16,0.26,0.01,0.27,Small,0.00,0.26,0.26,0.26
501,SUCCESS,2,19,0.28,0.01,0.29,Small,0.00,0.28,0.28,0.28
812,SUCCESS,2,11,0.30,0.01,0.31,Small,0.00,0.30,0.30,0.30
125,SUCCESS,2,10,0.31,0.01,0.32,Small,0.00,0.31,0.31,0.31
817,SUCCESS,2,26,0.33,0.01,0.34,Small,0.00,0.33,0.33,0.33
238,SUCCESS,2,34,0.35,0.01,0.36,Small,0.00,0.35,0.35,0.35
508,SUCCESS,2,44,0.35,0.01,0.36,Small,0.00,0.35,0.35,0.35
160,SUCCESS,2,23,0.36,0.01,0.37,Small,0.00,0.36,0.36,0.36
586,SUCCESS,2,0,0.37,0.01,0.38,Small,0.00,0.37,0.37,0.37
677,SUCCESS,2,11,0.37,0.01,0.38,Small,0.00,0.37,0.37,0.37
35,SUCCESS,2,32,0.38,0.01,0.39,Small,0.00,0.38,0.38,0.38
696,SUCCESS,2,13,0.38,0.01,0.39,Small,0.00,0.38,0.38,0.38
